Milk,Eggs,Tea,Biscuit
Milk,Coffee,Jam,Bread
Milk,Cereal,Biscuit,Rusk
Maggie,Jam,Bread,Ketchup
Cocoa Powder,Flour,Vanilla Essence,Whipped Cream
Cocoa Powder,Milk,Eggs,Whipped Cream
Tea,Milk,Rusk,Sugar
Rusk,Biscuit,Cereal,Bread
Bread,Mayonnaise,Ketchup,Eggs
Ketchup,Jam,Bread,Oats
Oats,Maggie,Cereal,Bread
Butter,Milk,Eggs,Yogurt
Beverages,Candy,Dairy Milk,Snacks
Coffee,Sugar,Milk,Candy
Sugar,Milk,Bread,Eggs
Mayonnaise,Ketchup,Bread,Butter
Tea,Cocoa Powder,Coffee,Milk
Candy,Dairy Milk,Milk,Bread
Cereal,Milk,Biscuit,Dairy Milk
Yogurt,Milk,Butter,Tea
Toothpaste,Bathing Soap,Shampoo,Hair Oil
Deodorant,Talcum Powder,Facewash,Hand Sanitizer
Vegetables,Flour,Spices,Cooking Oil
Fruits,Snacks,Biscuit,Dairy Milk
